,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Revenue,Date,Location,Device,Keyword,Month,Weekday,CPC,CTR,CPL,CPA,ROI,AOV,ROAS
24,A1024,Data Analytics Course: Basics,87.0,3718.0,134.0,12.0,3.0,0.034482758620689655,337.0,2024-11-20,Hyderabad,Tablet,Learn data analytics,November,Wednesday,1.54,2.34,11.17,44.67,151.49,112.33,2.51
25,A1025,Data Analytics Course: Basics,88.0,3349.0,182.0,22.0,8.0,0.09090909090909091,297.0,2024-11-20,Hyderabad,Tablet,Learn data analytics,November,Wednesday,2.07,2.63,8.27,22.75,63.19,37.12,1.63
26,A1026,Data Analytics Course: Visualizations,119.0,5323.0,206.0,17.0,10.0,0.08403361344537816,338.0,2024-11-02,Hyderabad,Desktop,Online data analytics,November,Saturday,1.73,2.24,12.12,20.6,64.08,33.8,1.64
27,A1027,Data Analytics Course: ML,160.0,5286.0,235.0,22.0,10.0,0.06238573446205301,344.0,2024-11-21,Hyderabad,Desktop,Data analytics training,November,Thursday,1.47,3.03,10.68,23.5,46.38,34.4,1.46
28,A1028,Data Analytics Course: Visualizations,128.0,5469.0,188.0,16.0,3.0,0.0234375,364.0,2024-11-23,Hyderabad,Mobile,Learn data analytics,November,Saturday,1.47,2.34,11.75,62.67,93.62,121.33,1.94
29,A1029,Data Analytics Course: Advanced,86.0,3351.0,238.0,21.0,9.0,0.10465116279069768,403.0,2024-11-13,Hyderabad,Mobile,Analytics for data,November,Wednesday,2.77,2.57,11.33,26.44,69.33,44.78,1.69
30,A1030,Data Analytics Course: ML,188.0,4834.0,214.0,15.0,4.0,0.02127659574468085,324.0,2024-11-08,Hyderabad,Tablet,Online data analytics,November,Friday,1.14,3.89,14.27,53.5,51.4,81.0,1.51
31,A1031,Data Analytics Course: Basics,113.0,5065.0,212.0,11.0,5.0,0.04424778761061947,227.0,2024-11-22,Hyderabad,Desktop,Online data analytics,November,Friday,1.88,2.23,19.27,42.4,7.08,45.4,1.07
32,A1032,Data Analytics Course: Advanced,117.0,3872.0,244.0,20.0,4.0,0.03406725127752193,212.0,2024-11-12,Hyderabad,Tablet,Data analytics online,November,Tuesday,2.09,3.02,12.2,61.0,-13.11,53.0,0.87
33,A1033,Data Analytics Course: ML,176.0,5509.0,235.0,19.0,7.0,0.03977272727272727,349.0,2024-11-03,Hyderabad,Tablet,Data analytics course,November,Sunday,1.34,3.19,12.37,33.57,48.51,49.86,1.49
34,A1034,Data Analytics Course: Advanced,121.0,5610.0,215.0,23.0,8.0,0.06611570247933884,373.7142857142857,2024-11-25,Hyderabad,Mobile,Data analytics course,November,Monday,1.78,2.16,9.35,26.88,73.82,46.71,1.74
35,A1035,Data Analytics Course: Basics,104.0,5275.0,236.0,16.0,9.0,0.08653846153846154,372.0,2024-11-01,Hyderabad,Desktop,Data analytics training,November,Friday,2.27,1.97,14.75,26.22,57.63,41.33,1.58
36,A1036,Data Analytics Course: Visualizations,146.0,5939.0,243.0,11.0,8.0,0.0547945205479452,374.0,2024-11-07,Hyderabad,Desktop,Data analytics training,November,Thursday,1.66,2.46,22.09,30.38,53.91,46.75,1.54
37,A1037,Data Analytics Course: Advanced,123.0,5131.0,187.0,19.0,5.0,0.04065040650406504,267.0,2024-11-09,Hyderabad,Mobile,Learn data analytics,November,Saturday,1.52,2.4,9.84,37.4,42.78,53.4,1.43
38,A1038,Data Analytics Course: Advanced,90.0,5786.0,198.0,11.0,6.0,0.06666666666666667,348.0,2024-11-16,Hyderabad,Mobile,Online data analytics,November,Saturday,2.2,1.56,18.0,33.0,75.76,58.0,1.76
39,A1039,Data Analytics Course: Advanced,171.0,4304.0,193.0,17.0,10.0,0.05847953216374269,291.0,2024-11-26,Hyderabad,Mobile,Learn data analytics,November,Tuesday,1.13,3.97,11.35,19.3,50.78,29.1,1.51
40,A1040,Data Analytics Course: ML,94.0,5549.0,231.0,25.0,9.0,0.09574468085106383,377.0,2024-11-12,Hyderabad,Mobile,Data analytics training,November,Tuesday,2.46,1.69,9.24,25.67,63.2,41.89,1.63
41,A1041,Data Analytics Course: ML,112.0,4271.0,196.0,27.0,6.0,0.05357142857142857,247.0,2024-11-14,Hyderabad,Desktop,Data analytics online,November,Thursday,1.75,2.62,7.26,32.67,26.02,41.17,1.26
42,A1042,Data Analytics Course: Advanced,113.0,4418.0,192.0,27.0,10.0,0.08849557522123894,333.0,2024-11-09,Hyderabad,Mobile,Data analytics course,November,Saturday,1.7,2.56,7.11,19.2,73.44,33.3,1.73
43,A1043,Data Analytics Course: Visualizations,145.0,3721.0,181.0,21.0,7.0,0.04827586206896552,400.0,2024-11-29,Hyderabad,Desktop,Data analytics online,November,Friday,1.25,3.9,8.62,25.86,120.99,57.14,2.21
44,A1044,Data Analytics Course: Basics,197.0,5783.0,204.0,23.0,6.0,0.030456852791878174,353.0,2024-11-01,Hyderabad,Tablet,Data analytics training,November,Friday,1.04,3.41,8.87,34.0,73.04,58.83,1.73
45,A1045,Data Analytics Course: Basics,109.0,4866.0,237.0,27.0,5.0,0.045871559633027525,323.0,2024-11-15,Hyderabad,Mobile,Online data analytics,November,Friday,2.17,2.24,8.78,47.4,36.29,64.6,1.36
46,A1046,Data Analytics Course: Visualizations,188.0,5857.0,223.0,20.0,4.0,0.02127659574468085,266.0,2024-11-11,Hyderabad,Desktop,Data analytics training,November,Monday,1.19,3.21,11.15,55.75,19.28,66.5,1.19
47,A1047,Data Analytics Course: ML,142.0,5103.0,234.0,24.0,3.0,0.02112676056338028,374.0,2024-11-08,Hyderabad,Mobile,Analytics for data,November,Friday,1.65,2.78,9.75,78.0,59.83,124.67,1.6
48,A1048,Data Analytics Course: Advanced,168.0,4653.0,241.0,27.0,9.0,0.05357142857142857,279.0,2024-11-24,Hyderabad,Mobile,Online data analytics,November,Sunday,1.43,3.61,8.93,26.78,15.77,31.0,1.16
49,A1049,Data Analytics Course: Advanced,110.0,3524.0,249.0,19.0,10.0,0.09090909090909091,311.0,2024-11-21,Hyderabad,Mobile,Learn data analytics,November,Thursday,2.26,3.12,13.11,24.9,24.9,31.1,1.25
50,A1050,Data Analytics Course: Advanced,192.0,5938.0,183.0,26.0,5.0,0.026041666666666668,220.0,2024-11-12,Hyderabad,Mobile,Analytics for data,November,Tuesday,0.95,3.23,7.04,36.6,20.22,44.0,1.2
51,A1051,Data Analytics Course: ML,101.0,3942.0,207.0,16.0,5.0,0.04950495049504951,356.0,2024-11-24,Hyderabad,Tablet,Analytics for data,November,Sunday,2.05,2.56,12.94,41.4,71.98,71.2,1.72
52,A1052,Data Analytics Course: ML,157.0,3315.0,190.0,15.0,10.0,0.06369426751592357,209.0,2024-11-25,Hyderabad,Mobile,Online data analytics,November,Monday,1.21,4.74,12.67,19.0,10.0,20.9,1.1
53,A1053,Data Analytics Course: Visualizations,113.0,4945.0,188.0,15.0,10.0,0.08849557522123894,319.0,2024-11-26,Hyderabad,Tablet,Learn data analytics,November,Tuesday,1.66,2.29,12.53,18.8,69.68,31.9,1.7
54,A1054,Data Analytics Course: Advanced,96.0,3166.0,196.0,29.0,7.0,0.07291666666666667,388.0,2024-11-26,Hyderabad,Desktop,Learn data analytics,November,Tuesday,2.04,3.03,6.76,28.0,97.96,55.43,1.98
55,A1055,Data Analytics Course: Advanced,125.0,4223.0,184.0,15.0,6.0,0.048,259.0,2024-11-05,Hyderabad,Desktop,Data analytics online,November,Tuesday,1.47,2.96,12.27,30.67,40.76,43.17,1.41
56,A1056,Data Analytics Course: Advanced,104.0,4798.0,210.0,18.0,3.0,0.028846153846153848,273.0,2024-11-21,Hyderabad,Desktop,Analytics for data,November,Thursday,2.02,2.17,11.67,70.0,30.0,91.0,1.3
57,A1057,Data Analytics Course: Visualizations,194.0,5655.0,209.0,13.0,6.0,0.030927835051546393,345.0,2024-11-16,Hyderabad,Mobile,Data analytics training,November,Saturday,1.08,3.43,16.08,34.83,65.07,57.5,1.65
58,A1058,Data Analytics Course: Basics,144.0,5140.0,219.0,19.0,8.0,0.05555555555555555,215.0,2024-11-18,Hyderabad,Desktop,Data analytics online,November,Monday,1.52,2.8,11.53,27.38,-1.83,26.88,0.98
59,A1059,Data Analytics Course: ML,179.0,3025.0,239.0,17.0,3.0,0.01675977653631285,140.14285714285714,2024-11-11,Hyderabad,Mobile,Data analytics online,November,Monday,1.34,5.92,14.06,79.67,-41.36,46.71,0.59
60,A1060,Data Analytics Course: ML,166.0,5223.0,190.0,18.0,7.0,0.04216867469879518,249.0,2024-11-16,Hyderabad,Tablet,Data analytics course,November,Saturday,1.14,3.18,10.56,27.14,31.05,35.57,1.31
61,A1061,Data Analytics Course: Advanced,166.0,5089.0,257.0,26.0,7.0,0.04216867469879518,397.0,2024-11-11,Hyderabad,Tablet,Analytics for data,November,Monday,1.55,3.26,9.88,36.71,54.47,56.71,1.54
62,A1062,Data Analytics Course: Visualizations,118.0,5016.0,204.0,19.0,9.0,0.07627118644067797,374.0,2024-11-08,Hyderabad,Desktop,Analytics for data,November,Friday,1.73,2.35,10.74,22.67,83.33,41.56,1.83
63,A1063,Data Analytics Course: Basics,185.0,3617.0,222.0,24.0,7.0,0.03783783783783784,401.0,2024-11-23,Hyderabad,Mobile,Data analytics course,November,Saturday,1.2,5.11,9.25,31.71,80.63,57.29,1.81
64,A1064,Data Analytics Course: Advanced,116.0,3764.0,232.0,28.0,10.0,0.08620689655172414,275.0,2024-11-20,Hyderabad,Tablet,Data analytics course,November,Wednesday,2.0,3.08,8.29,23.2,18.53,27.5,1.19
65,A1065,Data Analytics Course: ML,99.0,4489.0,184.0,15.0,6.0,0.06060606060606061,258.0,2024-11-05,Hyderabad,Desktop,Online data analytics,November,Tuesday,1.86,2.21,12.27,30.67,40.22,43.0,1.4
66,A1066,Data Analytics Course: Basics,172.0,4441.0,221.0,14.0,8.0,0.046511627906976744,361.0,2024-11-27,Hyderabad,Mobile,Analytics for data,November,Wednesday,1.28,3.87,15.79,27.62,63.35,45.12,1.63
67,A1067,Data Analytics Course: Advanced,138.0,5751.0,199.0,26.0,9.0,0.06521739130434782,273.0,2024-11-10,Hyderabad,Desktop,Data analytics online,November,Sunday,1.44,2.4,7.65,22.11,37.19,30.33,1.37
68,A1068,Data Analytics Course: Advanced,84.0,4036.0,234.0,23.0,10.0,0.11904761904761904,263.0,2024-11-04,Hyderabad,Desktop,Learn data analytics,November,Monday,2.79,2.08,10.17,23.4,12.39,26.3,1.12
69,A1069,Data Analytics Course: Basics,124.0,4942.0,241.0,18.0,3.0,0.024193548387096774,392.0,2024-11-16,Hyderabad,Desktop,Learn data analytics,November,Saturday,1.94,2.51,13.39,80.33,62.66,130.67,1.63
70,A1070,Data Analytics Course: Advanced,122.0,4989.0,215.0,12.0,5.0,0.040983606557377046,403.0,2024-11-06,Hyderabad,Mobile,Data analytics online,November,Wednesday,1.76,2.45,17.92,43.0,87.44,80.6,1.87
71,A1071,Data Analytics Course: ML,180.0,3006.0,228.0,22.0,7.0,0.03888888888888889,318.0,2024-11-04,Hyderabad,Tablet,Learn data analytics,November,Monday,1.27,5.99,10.36,32.57,39.47,45.43,1.39
72,A1072,Data Analytics Course: Basics,133.0,3728.0,199.0,11.0,10.0,0.07518796992481203,467.14285714285717,2024-11-09,Hyderabad,Desktop,Data analytics online,November,Saturday,1.5,3.57,18.09,19.9,134.75,46.71,2.35
73,A1073,Data Analytics Course: Basics,164.0,3734.0,225.0,27.0,8.0,0.04878048780487805,353.0,2024-11-12,Hyderabad,Tablet,Learn data analytics,November,Tuesday,1.37,4.39,8.33,28.12,56.89,44.12,1.57
74,A1074,Data Analytics Course: ML,150.0,4621.0,246.0,15.0,6.0,0.04,317.0,2024-11-09,Hyderabad,Desktop,Data analytics online,November,Saturday,1.64,3.25,16.4,41.0,28.86,52.83,1.29
75,A1075,Data Analytics Course: Advanced,97.0,3212.0,213.0,27.0,10.0,0.10309278350515463,407.0,2024-11-23,Hyderabad,Desktop,Analytics for data,November,Saturday,2.2,3.02,7.89,21.3,91.08,40.7,1.91
76,A1076,Data Analytics Course: Visualizations,128.0,4225.0,228.0,30.0,4.0,0.03125,330.0,2024-11-08,Hyderabad,Mobile,Learn data analytics,November,Friday,1.78,3.03,7.6,57.0,44.74,82.5,1.45
77,A1077,Data Analytics Course: ML,99.0,4779.0,234.0,26.0,10.0,0.10101010101010101,222.0,2024-11-05,Hyderabad,Desktop,Online data analytics,November,Tuesday,2.36,2.07,9.0,23.4,-5.13,22.2,0.95
78,A1078,Data Analytics Course: Visualizations,86.0,5352.0,234.0,11.0,5.0,0.05813953488372093,278.0,2024-11-09,Hyderabad,Tablet,Online data analytics,November,Saturday,2.72,1.61,21.27,46.8,18.8,55.6,1.19
79,A1079,Data Analytics Course: Advanced,118.0,5405.0,187.0,25.0,7.0,0.059322033898305086,375.0,2024-11-05,Hyderabad,Tablet,Analytics for data,November,Tuesday,1.58,2.18,7.48,26.71,100.53,53.57,2.01
80,A1080,Data Analytics Course: Advanced,127.0,5430.0,199.0,14.0,6.0,0.047244094488188976,394.0,2024-11-25,Hyderabad,Mobile,Analytics for data,November,Monday,1.57,2.34,14.21,33.17,97.99,65.67,1.98
81,A1081,Data Analytics Course: ML,83.0,4808.0,241.0,20.0,7.0,0.08433734939759036,212.0,2024-11-30,Hyderabad,Mobile,Learn data analytics,November,Saturday,2.9,1.73,12.05,34.43,-12.03,30.29,0.88
82,A1082,Data Analytics Course: Advanced,149.0,3587.0,218.0,23.0,8.0,0.053691275167785234,373.7142857142857,2024-11-17,Hyderabad,Mobile,Data analytics online,November,Sunday,1.46,4.15,9.48,27.25,71.43,46.71,1.71
83,A1083,Data Analytics Course: Basics,168.0,4683.0,215.0,30.0,8.0,0.047619047619047616,271.0,2024-11-28,Hyderabad,Mobile,Data analytics online,November,Thursday,1.28,3.59,7.17,26.88,26.05,33.88,1.26
84,A1084,Data Analytics Course: Basics,112.0,5814.0,227.0,11.0,8.0,0.07142857142857142,299.0,2024-11-03,Hyderabad,Tablet,Analytics for data,November,Sunday,2.03,1.93,20.64,28.38,31.72,37.38,1.32
85,A1085,Data Analytics Course: Basics,123.0,3292.0,233.0,28.0,6.0,0.04878048780487805,240.0,2024-11-19,Hyderabad,Desktop,Data analytics training,November,Tuesday,1.89,3.74,8.32,38.83,3.0,40.0,1.03
86,A1086,Data Analytics Course: Visualizations,174.0,4305.0,206.0,20.0,3.0,0.017241379310344827,216.0,2024-11-23,Hyderabad,Desktop,Learn data analytics,November,Saturday,1.18,4.04,10.3,68.67,4.85,72.0,1.05
87,A1087,Data Analytics Course: ML,143.0,4368.0,221.0,27.0,7.0,0.04895104895104895,245.0,2024-11-03,Hyderabad,Tablet,Analytics for data,November,Sunday,1.55,3.27,8.19,31.57,10.86,35.0,1.11
88,A1088,Data Analytics Course: Advanced,195.0,5935.0,210.0,23.0,9.0,0.046153846153846156,401.0,2024-11-07,Hyderabad,Tablet,Online data analytics,November,Thursday,1.08,3.29,9.13,23.33,90.95,44.56,1.91
89,A1089,Data Analytics Course: Basics,176.0,5847.0,241.0,13.0,6.0,0.03409090909090909,244.0,2024-11-02,Hyderabad,Desktop,Online data analytics,November,Saturday,1.37,3.01,18.54,40.17,1.24,40.67,1.01
90,A1090,Data Analytics Course: Visualizations,141.0,4851.0,227.0,28.0,5.0,0.03546099290780142,372.0,2024-11-15,Hyderabad,Desktop,Analytics for data,November,Friday,1.61,2.91,8.11,45.4,63.88,74.4,1.64
91,A1091,Data Analytics Course: ML,108.0,4710.0,204.0,19.0,10.0,0.09259259259259259,353.0,2024-11-20,Hyderabad,Tablet,Data analytics online,November,Wednesday,1.89,2.29,10.74,20.4,73.04,35.3,1.73
92,A1092,Data Analytics Course: Visualizations,112.0,3345.0,173.0,11.0,6.0,0.05357142857142857,379.0,2024-11-23,Hyderabad,Tablet,Analytics for data,November,Saturday,1.54,3.35,15.73,28.83,119.08,63.17,2.19
93,A1093,Data Analytics Course: Basics,179.0,5903.0,184.0,23.0,9.0,0.050278484351985606,242.0,2024-11-20,Hyderabad,Tablet,Online data analytics,November,Wednesday,1.03,3.03,8.0,20.44,31.52,26.89,1.32
94,A1094,Data Analytics Course: Advanced,145.0,5004.0,216.0,22.0,5.0,0.034482758620689655,305.0,2024-11-01,Hyderabad,Tablet,Data analytics online,November,Friday,1.49,2.9,9.82,43.2,41.2,61.0,1.41
95,A1095,Data Analytics Course: Visualizations,183.0,3947.0,197.0,15.0,8.0,0.04371584699453552,336.0,2024-11-14,Hyderabad,Desktop,Data analytics training,November,Thursday,1.08,4.64,13.13,24.62,70.56,42.0,1.71
96,A1096,Data Analytics Course: Basics,113.0,3690.0,229.0,20.0,5.0,0.04424778761061947,391.0,2024-11-28,Hyderabad,Tablet,Learn data analytics,November,Thursday,2.03,3.06,11.45,45.8,70.74,78.2,1.71
97,A1097,Data Analytics Course: Advanced,101.0,5943.0,187.0,27.0,6.0,0.0594059405940594,329.0,2024-11-15,Hyderabad,Tablet,Data analytics online,November,Friday,1.85,1.7,6.93,31.17,75.94,54.83,1.76
98,A1098,Data Analytics Course: Basics,189.0,5357.0,222.0,24.0,3.0,0.015873015873015872,375.0,2024-11-25,Hyderabad,Tablet,Data analytics course,November,Monday,1.17,3.53,9.25,74.0,68.92,125.0,1.69
99,A1099,Data Analytics Course: Visualizations,154.0,3596.0,236.0,30.0,9.0,0.05844155844155844,211.0,2024-11-06,Hyderabad,Tablet,Online data analytics,November,Wednesday,1.53,4.28,7.87,26.22,-10.59,23.44,0.89
100,A1100,Data Analytics Course: Visualizations,179.0,5162.0,247.0,16.0,5.0,0.027932960893854747,215.0,2024-11-29,Hyderabad,Desktop,Online data analytics,November,Friday,1.38,3.47,15.44,49.4,-12.96,43.0,0.87
101,A1101,Data Analytics Course: ML,148.0,3747.0,244.0,18.0,8.0,0.05405405405405406,223.0,2024-11-17,Hyderabad,Tablet,Learn data analytics,November,Sunday,1.65,3.95,13.56,30.5,-8.61,27.88,0.91
102,A1102,Data Analytics Course: Visualizations,177.0,4822.0,197.0,26.0,9.0,0.05084745762711865,390.0,2024-11-04,Hyderabad,Mobile,Online data analytics,November,Monday,1.11,3.67,7.58,21.89,97.97,43.33,1.98
103,A1103,Data Analytics Course: Advanced,119.0,5800.0,221.0,11.0,8.0,0.06722689075630252,373.7142857142857,2024-11-29,Hyderabad,Desktop,Analytics for data,November,Friday,1.86,2.05,20.09,27.62,69.1,46.71,1.69
104,A1104,Data Analytics Course: Advanced,89.0,3594.0,138.0,14.0,6.0,0.06741573033707865,209.0,2024-11-15,Hyderabad,Tablet,Data analytics course,November,Friday,1.55,2.48,9.86,23.0,51.45,34.83,1.51
105,A1105,Data Analytics Course: Advanced,146.0,4765.0,230.0,23.0,5.0,0.03424657534246575,397.0,2024-11-28,Hyderabad,Tablet,Analytics for data,November,Thursday,1.58,3.06,10.0,46.0,72.61,79.4,1.73
106,A1106,Data Analytics Course: ML,109.0,4128.0,184.0,12.0,5.0,0.045871559633027525,233.57142857142858,2024-11-30,Hyderabad,Desktop,Data analytics online,November,Saturday,1.69,2.64,15.33,36.8,26.94,46.71,1.27
107,A1107,Data Analytics Course: Visualizations,159.0,5127.0,197.0,21.0,4.0,0.025157232704402517,381.0,2024-11-03,Hyderabad,Tablet,Learn data analytics,November,Sunday,1.24,3.1,9.38,49.25,93.4,95.25,1.93
108,A1108,Data Analytics Course: Visualizations,144.0,5674.0,235.0,12.0,3.0,0.020833333333333332,307.0,2024-11-22,Hyderabad,Desktop,Analytics for data,November,Friday,1.63,2.54,19.58,78.33,30.64,102.33,1.31
109,A1109,Data Analytics Course: Visualizations,122.0,3793.0,237.0,19.0,8.0,0.06557377049180328,376.0,2024-11-20,Hyderabad,Tablet,Online data analytics,November,Wednesday,1.94,3.22,12.47,29.62,58.65,47.0,1.59
110,A1110,Data Analytics Course: ML,112.0,4315.0,235.0,28.0,9.0,0.08035714285714286,228.0,2024-11-08,Hyderabad,Mobile,Data analytics course,November,Friday,2.1,2.6,8.39,26.11,-2.98,25.33,0.97
111,A1111,Data Analytics Course: Basics,174.0,4704.0,192.0,21.0,10.0,0.05747126436781609,306.0,2024-11-24,Hyderabad,Mobile,Learn data analytics,November,Sunday,1.1,3.7,9.14,19.2,59.38,30.6,1.59
112,A1112,Data Analytics Course: ML,168.0,3349.0,236.0,23.0,9.0,0.05357142857142857,387.0,2024-11-09,Hyderabad,Mobile,Online data analytics,November,Saturday,1.4,5.02,10.26,26.22,63.98,43.0,1.64
113,A1113,Data Analytics Course: Basics,173.0,3501.0,224.0,28.0,10.0,0.057803468208092484,241.0,2024-11-25,Hyderabad,Mobile,Data analytics course,November,Monday,1.29,4.94,8.0,22.4,7.59,24.1,1.08
114,A1114,Data Analytics Course: ML,91.0,3001.0,204.0,13.0,9.0,0.0989010989010989,375.0,2024-11-20,Hyderabad,Desktop,Data analytics course,November,Wednesday,2.24,3.03,15.69,22.67,83.82,41.67,1.84
115,A1115,Data Analytics Course: Advanced,140.0,5405.0,196.0,21.0,8.0,0.05714285714285714,223.0,2024-11-21,Hyderabad,Desktop,Data analytics training,November,Thursday,1.4,2.59,9.33,24.5,13.78,27.88,1.14
116,A1116,Data Analytics Course: Basics,93.0,3425.0,230.0,26.0,4.0,0.043010752688172046,274.0,2024-11-24,Hyderabad,Mobile,Online data analytics,November,Sunday,2.47,2.72,8.85,57.5,19.13,68.5,1.19
117,A1117,Data Analytics Course: Advanced,114.0,5263.0,189.0,23.0,5.0,0.043859649122807015,293.0,2024-11-05,Hyderabad,Mobile,Data analytics course,November,Tuesday,1.66,2.17,8.22,37.8,55.03,58.6,1.55
118,A1118,Data Analytics Course: Visualizations,172.0,3889.0,266.0,21.0,10.0,0.05813953488372093,360.0,2024-11-16,Hyderabad,Tablet,Online data analytics,November,Saturday,1.55,4.42,12.67,26.6,35.34,36.0,1.35
119,A1119,Data Analytics Course: Advanced,188.0,3327.0,194.0,24.0,6.0,0.031914893617021274,249.0,2024-11-03,Hyderabad,Tablet,Online data analytics,November,Sunday,1.03,5.65,8.08,32.33,28.35,41.5,1.28
